Sucun_Islendigi_Il,Yil,Cinsiyet,Oldurme,Yaralama,Cinsel_Suclar,Kisiyi_Hurriyetinden_Yoksun_Kilma,Hakaret,Hirsizlik,Uyusturucu_Madde_Imal_ve_Ticareti,Uyusturucu_Madde_Kullanma_Satin_Alma,Kotu_Muamele,Kacakcilik,Silah_ve_Bicakli_Suclar,Tehdit
Sirnak,2012,Kadın,0,0,0,0,0,1,0,0,1,0,0,0
Siirt,2012,Erkek,18,37,1,0,4,25,1,7,18,0,0,0
Siirt,2012,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
Istanbul ,2011,Erkek,551,867,105,100,64,1281,173,1040,445,2,6,279
Istanbul ,2011,Kadın,19,13,2,7,2,70,5,49,11,0,0,0
Tekirdag,2011,Erkek,34,115,17,8,22,83,9,12,24,1,3,166
Tekirdag,2011,Kadın,1,3,1,0,0,2,0,2,0,0,0,0
Edirne,2011,Erkek,33,76,10,7,9,39,9,23,19,0,1,112
Edirne,2011,Kadın,1,5,0,0,0,3,0,0,1,0,0,0
Kirklareli ,2011,Erkek,19,71,11,4,6,27,3,6,7,0,1,9
Kirklareli ,2011,Kadın,1,1,0,0,1,2,0,0,0,0,0,0
Balikesir                  ,2011,Erkek,83,194,35,25,28,102,15,10,28,0,1,13
Balikesir                  ,2011,Kadın,6,3,1,0,2,9,0,1,6,0,0,0
Canakkale,2011,Erkek,13,88,6,2,13,41,4,3,13,0,4,131
Canakkale,2011,Kadın,0,1,0,0,0,9,0,0,1,0,0,0
İzmir ,2011,Erkek,291,633,68,53,84,571,138,205,182,2,6,259
İzmir ,2011,Kadın,6,17,1,2,6,22,6,9,7,0,0,0
Aydin,2011,Erkek,68,189,18,17,38,125,22,27,35,0,4,1
Aydin,2011,Kadın,3,3,1,3,2,11,3,3,0,0,0,0
Denizli ,2011,Erkek,76,150,20,15,32,86,35,9,37,0,4,5
Denizli ,2011,Kadın,4,5,0,0,1,8,2,1,1,0,1,0
Mugla,2011,Erkek,58,172,20,12,27,104,12,15,35,0,12,1
Mugla,2011,Kadın,2,4,0,0,1,1,0,0,1,0,0,0
Manisa,2011,Erkek,61,250,31,36,25,122,36,25,25,0,6,11
Manisa,2011,Kadın,5,6,1,0,0,7,0,1,0,0,0,0
Afyonkarahisar  ,2011,Erkek,41,107,14,15,14,36,5,2,27,0,1,1
Afyonkarahisar  ,2011,Kadın,3,7,1,2,1,4,1,0,1,0,0,0
Kutahya ,2011,Erkek,13,57,10,2,14,29,4,2,8,0,1,1
Kutahya ,2011,Kadın,0,2,0,0,0,1,0,0,0,0,0,0
Usak,2011,Erkek,26,55,11,8,9,15,3,5,10,0,2,3
Usak,2011,Kadın,1,0,0,0,0,0,1,0,0,0,0,0
Bursa,2011,Erkek,76,257,39,19,24,244,40,26,67,1,15,9
Bursa,2011,Kadın,2,4,0,1,2,16,1,4,4,0,0,0
Eskisehir                 ,2011,Erkek,24,134,7,2,10,73,13,4,26,0,0,48
Eskisehir                 ,2011,Kadın,2,4,0,0,2,4,0,2,1,0,0,0
Bilecik,2011,Erkek,6,25,1,3,6,9,4,1,7,1,3,2
Bilecik,2011,Kadın,0,0,0,0,0,0,1,0,0,0,0,0
Kocaeli ,2011,Erkek,83,139,27,14,23,117,21,36,28,0,9,106
Kocaeli ,2011,Kadın,3,1,0,0,0,14,0,0,1,0,1,0
Sakarya,2011,Erkek,58,93,5,12,14,41,9,5,12,0,30,0
Sakarya,2011,Kadın,1,2,0,0,0,6,0,0,1,0,0,0
Duzce,2011,Erkek,33,52,4,2,9,32,7,3,13,0,3,0
Duzce,2011,Kadın,1,2,0,1,1,0,1,0,0,0,0,0
Bolu,2011,Erkek,15,42,4,1,12,10,11,4,7,0,4,3
Bolu,2011,Kadın,1,1,0,1,1,0,0,1,0,0,0,0
Yalova,2011,Erkek,7,29,1,3,4,14,7,7,17,0,1,1
Yalova,2011,Kadın,1,1,0,0,1,0,1,1,1,0,0,0
Ankara ,2011,Erkek,126,392,33,23,35,362,104,99,135,1,0,340
Ankara ,2011,Kadın,11,10,0,2,5,25,6,1,6,0,0,0
Konya,2011,Erkek,58,225,15,8,39,127,25,8,52,0,2,10
Konya,2011,Kadın,4,5,0,0,0,10,2,1,0,0,0,0
Karaman,2011,Erkek,13,43,6,1,3,12,0,0,7,0,1,0
Karaman,2011,Kadın,0,0,0,0,0,1,0,0,0,0,0,0
Antalya,2011,Erkek,125,372,37,57,44,398,52,61,99,0,3,4
Antalya,2011,Kadın,8,6,1,1,2,17,5,5,9,0,0,0
Isparta,2011,Erkek,22,53,8,3,9,27,10,6,9,0,0,80
Isparta,2011,Kadın,0,2,0,0,0,0,2,2,0,0,0,0
Burdur,2011,Erkek,22,26,3,4,4,12,3,5,3,0,0,0
Burdur,2011,Kadın,2,0,0,0,1,2,0,0,0,0,0,0
Adana,2011,Erkek,131,249,25,16,26,233,37,194,97,1,10,173
Adana,2011,Kadın,5,7,0,1,0,6,5,4,2,0,1,0
Mersin,2011,Erkek,102,215,14,12,27,236,23,57,57,0,10,56
Mersin,2011,Kadın,5,4,1,1,0,11,1,0,2,0,0,0
Hatay,2011,Erkek,44,118,17,11,12,75,12,104,18,0,15,11
Hatay,2011,Kadın,2,2,0,0,0,3,2,2,0,0,0,0
Kahramanmaras,2011,Erkek,23,98,7,8,13,64,8,8,29,0,10,5
Kahramanmaras,2011,Kadın,2,7,0,0,1,4,0,0,1,0,0,0
Osmaniye,2011,Erkek,28,59,6,4,4,42,4,14,19,0,11,3
Osmaniye,2011,Kadın,0,0,0,0,1,1,0,0,1,0,1,0
Kirikkale,2011,Erkek,16,34,2,1,5,28,5,3,7,0,0,1
Kirikkale,2011,Kadın,1,1,0,0,0,1,0,0,0,0,0,0
Aksaray,2011,Erkek,13,37,4,7,4,14,3,2,6,0,0,2
Aksaray,2011,Kadın,0,0,0,0,0,1,0,0,0,0,0,0
Nigde,2011,Erkek,20,67,10,7,7,13,3,3,8,0,2,1
Nigde,2011,Kadın,0,3,0,0,1,0,0,0,0,0,0,0
Nevsehir,2011,Erkek,3,38,3,2,7,10,3,1,11,0,0,0
Nevsehir,2011,Kadın,0,0,0,0,0,2,0,0,0,0,0,0
Kirsehir,2011,Erkek,9,14,7,6,9,11,2,5,6,0,1,2
Kirsehir,2011,Kadın,0,0,0,0,1,2,0,0,1,0,0,0
Kayseri,2011,Erkek,31,179,10,13,10,109,24,19,21,0,1,6
Kayseri,2011,Kadın,0,2,1,2,1,15,2,2,1,0,0,0
Sivas,2011,Erkek,22,64,6,1,5,20,2,1,4,0,3,56
Sivas,2011,Kadın,0,0,0,0,0,1,1,0,1,0,0,0
Yozgat,2011,Erkek,12,38,2,1,6,14,2,4,6,0,1,2
Yozgat,2011,Kadın,0,2,0,1,2,0,1,0,0,0,0,0
Zonguldak,2011,Erkek,14,74,10,7,21,35,5,5,6,0,9,2
Zonguldak,2011,Kadın,1,0,0,0,0,0,0,0,0,0,0,0
Karabuk,2011,Erkek,10,24,4,4,3,12,4,0,5,0,0,0
Karabuk,2011,Kadın,0,0,0,1,0,1,1,0,0,0,0,0
Bartin,2011,Erkek,6,25,1,4,0,8,3,0,4,0,0,3
Bartin,2011,Kadın,0,0,0,0,0,0,1,0,0,0,0,0
Kastamonu,2011,Erkek,37,41,4,2,21,15,4,10,7,0,5,1
Kastamonu,2011,Kadın,2,2,0,1,0,1,0,0,1,0,0,0
Cankiri,2011,Erkek,5,19,2,3,1,7,1,0,5,0,1,3
Cankiri,2011,Kadın,0,0,0,0,0,2,1,0,1,0,0,0
Sinop,2011,Erkek,7,11,3,3,2,7,0,0,6,0,1,3
Sinop,2011,Kadın,1,1,0,0,0,1,0,0,0,0,0,0
Samsun,2011,Erkek,74,105,16,19,21,74,11,18,39,0,19,2
Samsun,2011,Kadın,1,0,2,0,0,5,2,1,1,0,0,0
Tokat,2011,Erkek,20,59,5,12,7,30,4,0,13,0,24,3
Tokat,2011,Kadın,0,1,0,0,0,3,0,0,1,0,0,0
Corum,2011,Erkek,30,80,8,6,8,19,13,0,15,0,4,1
Corum,2011,Kadın,0,2,0,0,0,1,1,0,1,0,0,0
Amasya,2011,Erkek,12,42,3,5,16,14,2,1,5,0,3,1
Amasya,2011,Kadın,0,1,0,0,2,1,0,0,0,0,0,0
Trabzon,2011,Erkek,26,46,3,5,8,18,5,5,16,0,0,41
Trabzon,2011,Kadın,0,1,0,0,0,1,0,0,0,0,0,0
Ordu,2011,Erkek,25,90,14,6,18,26,3,5,11,0,13,3
Ordu,2011,Kadın,2,2,0,1,1,3,2,0,0,0,1,0
Giresun,2011,Erkek,26,75,6,1,4,19,4,2,4,0,4,2
Giresun,2011,Kadın,1,2,1,0,0,1,0,0,0,0,0,0
Rize,2011,Erkek,16,25,0,0,9,16,6,1,6,0,3,1
Rize,2011,Kadın,0,0,0,0,0,1,0,0,0,0,0,0
Artvin,2011,Erkek,7,18,2,0,3,5,3,3,7,0,4,0
Artvin,2011,Kadın,0,0,0,0,0,0,0,0,1,0,0,0
Gumushane,2011,Erkek,1,6,0,0,0,4,0,0,1,0,0,0
Gumushane,2011,Kadın,0,0,0,0,0,1,0,0,0,0,0,0
Erzurum,2011,Erkek,30,80,6,6,3,50,2,6,9,1,1,71
Erzurum,2011,Kadın,1,0,0,0,0,0,1,0,0,0,0,0
Erzincan,2011,Erkek,7,23,4,1,4,9,1,1,7,0,0,33
Erzincan,2011,Kadın,0,0,0,0,0,1,0,0,3,0,0,0
Bayburt ,2011,Erkek,0,3,0,0,0,1,0,0,0,0,0,0
Bayburt ,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
Ağri,2011,Erkek,26,34,2,1,0,26,0,16,8,0,0,117
Ağri,2011,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
Kars,2011,Erkek,12,52,0,1,1,7,0,0,0,0,3,110
Kars,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
Igdir,2011,Erkek,4,10,4,0,0,8,0,3,5,0,0,5
Igdir,2011,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
Ardahan,2011,Erkek,5,16,0,0,0,8,0,0,1,0,3,1
Ardahan,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
Malatya,2011,Erkek,40,67,6,7,6,45,8,41,15,0,2,51
Malatya,2011,Kadın,0,0,0,1,0,3,0,0,0,0,0,0
Elazig,2011,Erkek,35,56,2,10,6,49,8,59,7,0,0,110
Elazig,2011,Kadın,1,0,0,0,0,3,0,1,1,0,0,0
Bingol,2011,Erkek,8,17,2,0,2,9,1,32,1,0,2,4
Bingol,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunceli,2011,Erkek,2,8,0,0,1,2,1,0,0,0,1,6
Tunceli,2011,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
Van,2011,Erkek,43,34,2,4,1,14,0,98,7,0,0,161
Van,2011,Kadın,1,0,0,0,0,0,0,0,1,0,0,0
Mus,2011,Erkek,24,7,0,3,1,13,4,2,6,0,0,1
Mus,2011,Kadın,0,0,0,0,0,0,0,0,0,1,0,0
Bitlis,2011,Erkek,12,10,1,0,3,11,0,13,4,0,3,11
Bitlis,2011,Kadın,0,0,0,0,0,0,1,0,0,0,0,0
Hakkari,2011,Erkek,4,4,0,4,0,11,0,31,6,0,0,7
Hakkari,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaziantep,2011,Erkek,89,170,10,15,7,263,21,42,38,1,4,79
Gaziantep,2011,Kadın,4,4,1,1,0,4,0,0,1,0,0,0
Adiyaman,2011,Erkek,25,29,0,2,2,27,9,12,4,0,2,2
Adiyaman,2011,Kadın,1,0,0,0,0,3,0,0,0,0,0,0
Kilis,2011,Erkek,7,11,0,0,1,11,0,11,1,0,2,2
Kilis,2011,Kadın,1,0,0,0,0,0,0,0,0,0,0,0
Sanliurfa,2011,Erkek,48,88,3,6,4,74,9,42,23,1,0,10
Sanliurfa,2011,Kadın,2,2,0,0,0,1,0,2,0,0,0,0
Diyarbakır,2011,Erkek,77,87,4,5,4,94,4,164,22,0,1,201
Diyarbakır,2011,Kadın,1,0,0,0,0,1,0,2,0,0,0,0
Mardin,2011,Erkek,22,23,4,2,1,21,2,8,14,0,2,4
Mardin,2011,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
Batman,2011,Erkek,9,17,0,0,0,18,2,11,2,0,1,8
Batman,2011,Kadın,2,1,0,0,0,4,0,0,0,0,0,0
Sirnak,2011,Erkek,10,9,0,1,2,10,2,2,4,0,0,3
Sirnak,2011,Kadın,1,0,0,0,0,0,0,0,0,0,0,0
Siirt,2011,Erkek,14,19,3,3,8,14,0,6,4,0,0,5
Siirt,2011,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
